UNITID,mean_earnings_after10,median_earnings_after10,Sat_Mp_Critical_Reading,Sat_Mp_Math
100654,35500,31000,425.0,420.0
100663,48400,41200,560.0,575.0
100706,52000,46700,590.0,610.0
100724,30600,27700,415.0,410.0
100751,51600,44500,550.0,555.0
100830,38000,33300,465.0,470.0
100858,56300,48800,575.0,585.0
100937,53100,46700,555.0,530.0
101189,40700,35400,500.0,500.0
101435,43600,39900,473.0,475.0
101480,38100,35800,500.0,495.0
101541,29300,26100,581.0,531.0
101587,40400,37400,480.0,460.0
101648,49800,42700,540.0,555.0
101693,38700,35200,485.0,500.0
101709,36100,34200,530.0,520.0
101879,42800,37800,475.0,483.0
101912,37400,29700,455.0,425.0
102049,59800,49900,570.0,559.0
102094,46800,37800,515.0,510.0
102234,51300,45100,550.0,545.0
102270,33700,28200,405.0,420.0
102368,41100,37000,503.0,540.0
102377,42200,35500,500.0,500.0
102614,45100,38700,540.0,535.0
104151,55500,47700,565.0,585.0
105589,34300,33200,550.0,510.0
105899,34900,32200,474.0,500.0
106245,39500,34900,490.0,505.0
106342,44800,38600,498.0,535.0
106397,52700,44900,550.0,565.0
106412,30600,27200,477.0,475.0
106458,36600,32200,509.0,560.0
106704,42500,38300,465.0,500.0
106713,43000,35300,438.0,453.0
107044,47000,40900,555.0,545.0
107071,40400,35700,439.0,585.0
107080,44500,39700,620.0,610.0
107141,55400,45800,590.0,540.0
107512,46000,41200,540.0,535.0
107558,38600,33900,445.0,480.0
107585,31600,27500,430.0,435.0
107983,39000,35700,475.0,480.0
109785,55900,51100,505.0,510.0
110097,50700,44500,545.0,540.0
110361,47500,42600,490.0,485.0
110404,106300,85900,770.0,785.0
110413,60200,54200,542.0,555.0
110422,74300,66900,610.0,645.0
110510,48800,44500,440.0,440.0
110529,58000,54000,500.0,530.0
110538,55400,48100,495.0,495.0
110556,48500,44700,450.0,455.0
110565,51800,47200,500.0,520.0
110583,53000,48100,515.0,530.0
110592,49900,46100,435.0,445.0
110608,49700,45400,455.0,460.0
110617,54200,48900,465.0,475.0
110635,79000,64700,685.0,720.0
110644,68100,58200,570.0,620.0
110653,65800,58400,555.0,640.0
110662,73200,60700,640.0,675.0
110671,55300,49700,520.0,545.0
110680,69600,59900,620.0,690.0
110705,62400,55300,605.0,650.0
110714,53800,46900,575.0,600.0
111948,56600,54500,600.0,605.0
112075,50800,46400,519.0,515.0
112084,42500,36700,480.0,475.0
112260,93200,72900,695.0,710.0
113698,63600,55600,507.0,514.0
114813,45600,43900,480.0,475.0
115409,104200,88800,730.0,770.0
115728,57600,50800,446.0,460.0
115755,40100,36600,495.0,485.0
117104,34400,32700,460.0,428.0
117140,52700,49200,510.0,520.0
117627,54600,49500,450.0,455.0
117751,52100,41700,560.0,520.0
117946,71600,61300,605.0,620.0
118693,59700,50900,495.0,506.0
118888,49500,39900,563.0,517.0
119173,63500,53200,460.0,460.0
120184,63900,56400,454.0,455.0
120254,59400,50600,650.0,660.0
120537,40700,36000,470.0,460.0
120865,61700,51700,500.0,485.0
120883,84200,71700,565.0,600.0
121150,77600,65500,600.0,620.0
121309,54400,50900,565.0,570.0
121345,77300,58100,720.0,720.0
121691,57700,55000,540.0,545.0
122409,55900,51000,545.0,565.0
122436,71100,60000,595.0,610.0
122597,54700,49200,485.0,490.0
122612,74000,62300,565.0,575.0
122728,45100,37300,520.0,500.0
122755,63800,56100,505.0,530.0
122931,85300,72600,635.0,665.0
123165,61800,54100,700.0,665.0
123457,39900,34500,498.0,485.0
123554,63600,56300,535.0,520.0
123572,53200,49200,490.0,490.0
123651,48800,41800,475.0,455.0
123961,88800,74000,680.0,710.0
124292,45900,42100,655.0,595.0
